front,back,tags
"潮汐是由哪两个力共同作用产生的？","<b>月球引力</b> 和 <b>地球自转离心力</b>","潮汐;力学"
"地球上的一个地点，每天经历几次涨潮？","<b>2次</b>涨潮和2次退潮（因为月球在地球两侧都引起水体鼓起）。","潮汐;概念"
"潮差（Tidal Range）是什么？","涨潮最高位与退潮最低位之间的<b>高度差</b>。","潮汐;概念"
"钱塘江大潮特别壮观的主要原因是什么？","钱塘江口呈"喇叭形"，海湾越往里越窄，潮水堆积，潮差可达<b>9米以上</b>！","地理;潮汐"
"月球绕地球公转一圈大约需要多少天？","约 <b>29.5天</b>（一个完整的月相周期）。","月球;数据"
"离心力（Centrifugal Force）是真实力吗？","不是！它是一种<b>惯性力</b>，是物体在旋转参考系中"感觉"到的往外甩的力。","物理;力学"
"哪种形状的海湾会让潮差变得特别大？","<b>喇叭形（漏斗形）海湾</b>，如钱塘江口、亚马逊河口。","地理;地形"
"潮汐能（Tidal Energy）是什么能源？","利用潮汐涨落驱动发电机发电，是<b>清洁可再生能源</b>。","能源;潮汐"
"什么是大潮（Spring Tide）？","在满月和新月时，太阳、月球和地球排成一条线，<b>引力叠加</b>，潮差最大。","潮汐;天文"
"什么是小潮（Neap Tide）？","当太阳和月球成直角时，两者的引力部分抵消，潮差<b>最小</b>。","潮汐;天文"
"引力（Gravity）是什么？","任何有质量的物体之间的相互吸引力，质量越大，距离越近，引力越强。","物理;概念"
"为什么地球朝向和背向月球的两侧都会涨潮？","因为地球自转产生<b>离心力</b>，在背向月球的一侧，离心力大于引力，使水体鼓起。","潮汐;力学"
