front,back,tags
"蜜蜂用什么部位携带花粉？","蜜蜂用后腿上的<b>花粉篮（corbicula）</b>来携带花粉。","蜜蜂;传粉"
"蜜蜂的摇摆舞（waggle dance）传递了什么信息？","传递食物的<b>方向</b>（相对于太阳的角度）和<b>距离</b>（跳舞时间长短）。","蜜蜂;行为"
"一只蜜蜂每次出巢会访问多少朵花？","每次出巢会访问 <b>50-100朵花</b>！","蜜蜂;数据"
"蜜蜂传粉支撑了全球多少比例的农作物产量？","约 <b>30%</b> 的全球农作物产量依赖蜜蜂传粉。","蜜蜂;生态"
"什么是生态系统服务（Ecosystem Service）？","自然生态系统为人类提供的各种益处，如传粉、净水、授氧等。","生态;概念"
"蜜蜂看不见哪种光？","蜜蜂能看见<b>紫外光</b>，但看不见红色光（红色在蜜蜂眼中是深色的）。","蜜蜂;光生物学"
"传粉（Pollination）是什么过程？","花粉从雄蕊（stamen）转移到雌蕊（pistil）的过程，是植物繁殖的关键步骤。","植物;概念"
"蜜蜂的拉丁学名 Apis mellifera 是什么意思？","<b>Apis</b>=蜜蜂，<b>mellifera</b>=产蜜的（来自拉丁语 mel=蜂蜜）。","蜜蜂;语言"
"花蜜（Nectar）是什么？","花朵分泌的甜味液体，是蜜蜂制作蜂蜜的主要原料。","蜜蜂;食物"
"什么是花粉（Pollen）？","花粉是植物的雄性生殖细胞，包含植物的精子。","植物;概念"
"蜜蜂通过什么方式告诉同伴食物在哪里？","<b>摇摆舞（Waggle Dance）</b>——蜜蜂通过特定的舞蹈动作传递信息。","蜜蜂;行为"
"为什么许多花有紫外光图案？","这些图案在<b>紫外光</b下可见，引导蜜蜂找到花蜜和花粉的位置。","植物;进化"
